ccudm_lda,,
col_name,data_type,comment
PAT_MRN_ID,string,null
CSN,"decimal(10,0)",null
IP_LDA_ID,string,null
FLOWSHEET_FSD_ID,string,null
FLOWSHEET_MEASURE_ID,string,null
FLOWSHEET_MEASURE_NAME,string,null
LDA_DESCRIPTION,string,null
LDA_PROPERTY_DISPLAY,string,null
LDA_SITE,string,null
PLACEMENT_INSTANT,timestamp,null
REMOVAL_INSTANT,timestamp,null
REMOVAL_DTTM,timestamp,null
LDA_GROUP_CDR,double,null
LINKED_SUPPLY_NAME,string,null
REC_ARCHIVED_YN,string,null
AVATAR_PROPERTY_OVERRIDE,string,null
LDA_RECORDED_DTTM,timestamp,null
AVATAR_LDA_REGION_ANATOMY,string,null
AVATAR_CALCULATED_LDA_REGION_ANATOMY,string,null
AVATAR_X_COORDINATE,"decimal(18,12)",null
AVATAR_Y_COORDINATE,"decimal(18,12)",null
AVATAR_TYPE,string,null
AVATAR_ORIENTATION,string,null
TRIP_REGION_NAME,string,null
TRIP_BEGIN_DATE,timestamp,null
TRIP_END_DATE,timestamp,null
TRIP_DATE_APPROX,string,null
TRIP_PAT_ENTERED_YN,string,null